DOI,  "DOI_Stub"
10.1007/s00254-005-0057-4, 10.1007s0025400500574
10.1007/s00289-016-1773-5, 10.1007s0028901617735
10.1007/s00289-017-1987-1, 10.1007s0028901719871
10.1007/s00289-017-2012-4, 10.1007s0028901720124
10.1007/s00339-015-9537-x, 10.1007s003390159537x
10.1007/s00706-011-0592-5, 10.1007s0070601105925
10.1007/s00894-010-0720-x, 10.1007s008940100720x
10.1007/s10450-005-5400-2, 10.1007s1045000554002
10.1007/s10450-005-6043-z, 10.1007s104500056043z
10.1007/s10450-006-0138-z, 10.1007s104500060138z
10.1007/s10450-006-0146-z, 10.1007s104500060146z
10.1007/s10450-006-0570-0, 10.1007s1045000605700
10.1007/s10450-007-9010-z, 10.1007s104500079010z
10.1007/s10450-007-9013-9, 10.1007s1045000790139
10.1007/s10450-007-9015-7, 10.1007s1045000790157
10.1007/s10450-007-9025-5, 10.1007s1045000790255
10.1007/s10450-007-9032-6, 10.1007s1045000790326
10.1007/s10450-007-9101-x, 10.1007s104500079101x
10.1007/s10450-008-9113-1, 10.1007s1045000891131
10.1007/s10450-008-9114-0, 10.1007s1045000891140
10.1007/s10450-008-9123-z, 10.1007s104500089123z
10.1007/s10450-008-9135-8, 10.1007s1045000891358
10.1007/s10450-008-9136-7, 10.1007s1045000891367
10.1007/s10450-008-9137-6, 10.1007s1045000891376
10.1007/s10450-008-9140-y, 10.1007s104500089140y
10.1007/s10450-009-9191-8, 10.1007s1045000991918
10.1007/s10450-010-9260-z, 10.1007s104500109260z
10.1007/s10450-010-9267-5, 10.1007s1045001092675
10.1007/s10450-010-9305-3, 10.1007s1045001093053
10.1007/s10450-011-9328-4, 10.1007s1045001193284
10.1007/s10450-011-9337-3, 10.1007s1045001193373
10.1007/s10450-011-9358-y, 10.1007s104500119358y
10.1007/s10450-011-9382-y, 10.1007s104500119382y
10.1007/s10450-012-9386-2, 10.1007s1045001293862
10.1007/s10450-012-9395-1, 10.1007s1045001293951
10.1007/s10450-012-9397-z, 10.1007s104500129397z
10.1007/s10450-012-9398-y, 10.1007s104500129398y
10.1007/s10450-012-9407-1, 10.1007s1045001294071
10.1007/s10450-012-9414-2, 10.1007s1045001294142
10.1007/s10450-012-9421-3, 10.1007s1045001294213
10.1007/s10450-012-9423-1, 10.1007s1045001294231
10.1007/s10450-012-9433-z, 10.1007s104500129433z
10.1007/s10450-012-9438-7, 10.1007s1045001294387
10.1007/s10450-013-9527-2, 10.1007s1045001395272
10.1007/s10450-013-9540-5, 10.1007s1045001395405
10.1007/s10450-013-9546-z, 10.1007s104500139546z
10.1007/s10450-013-9558-8, 10.1007s1045001395588
10.1007/s10450-013-9564-x, 10.1007s104500139564x
10.1007/s10450-013-9570-z, 10.1007s104500139570z
